cultura,fonte_mensalizacao,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez
arroz,mensalizacao_oficial_estabelecimentos,0.0007047216349541931,0.0021141649048625794,0.007047216349541931,0.004933051444679351,0.004228329809725159,0.023255813953488372,0.05919661733615222,0.4094432699083862,0.42565186751233264,0.041578576462297394,0.01620859760394644,0.005637773079633545
banana,distribuicao_uniforme_1_12,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
cacau,distribuicao_uniforme_1_12,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
cana,distribuicao_uniforme_1_12,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
feijao,mensalizacao_oficial_estabelecimentos,0.017248,0.0,0.018519,0.004902,0.043029,0.052832,0.062636,0.119281,0.127996,0.216231,0.262164,0.075164
laranja,distribuicao_uniforme_1_12,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
mandioca,mensalizacao_oficial_estabelecimentos,0.047866805411030174,0.07908428720083246,0.11342351716961499,0.043704474505723206,0.03537981269510926,0.043704474505723206,0.04162330905306972,0.08532778355879292,0.1696149843912591,0.07284079084287201,0.08636836628511967,0.18106139438085328
milho,mensalizacao_oficial_estabelecimentos,0.004961020552799433,0.0007087172218284905,0.03401842664776754,0.002126151665485471,0.005669737774627924,0.0744153082919915,0.13536498936924168,0.23458540042523032,0.3182140326009922,0.10772501771793054,0.06520198440822111,0.01700921332388377
soja,mensalizacao_oficial_estabelecimentos,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.7777777777777778,0.0,0.0,0.0
tomate,distribuicao_uniforme_1_12,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
